Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.52,-.24,-.30,-.07,-.17,-.18,-.26,-.23,-.31,-.43,-.38,-.29,***,***,-.20,-.20,-.32
1881,-.29,-.22,-.01,.01,.04,-.32,.08,-.04,-.26,-.43,-.37,-.24,-.17,-.18,-.30,.01,-.09,-.35
1882,.27,.23,.03,-.30,-.23,-.28,-.27,-.15,-.25,-.51,-.33,-.68,-.21,-.17,.09,-.17,-.23,-.36
1883,-.56,-.66,-.16,-.30,-.25,-.12,-.05,-.21,-.33,-.16,-.45,-.16,-.28,-.33,-.63,-.24,-.13,-.31
1884,-.16,-.12,-.65,-.59,-.37,-.41,-.45,-.50,-.46,-.45,-.57,-.48,-.43,-.41,-.14,-.54,-.46,-.49
1885,-1.01,-.45,-.23,-.49,-.57,-.45,-.34,-.39,-.38,-.35,-.37,-.09,-.43,-.46,-.64,-.43,-.39,-.37
1886,-.72,-.82,-.70,-.35,-.32,-.36,-.13,-.42,-.32,-.30,-.38,-.19,-.42,-.41,-.54,-.46,-.30,-.33
1887,-1.06,-.69,-.42,-.36,-.23,-.19,-.23,-.52,-.19,-.47,-.26,-.42,-.42,-.40,-.65,-.34,-.31,-.30
1888,-.47,-.59,-.60,-.19,-.13,-.01,.01,-.19,-.18,-.02,.01,-.22,-.22,-.23,-.49,-.31,-.06,-.06
1889,-.25,.32,-.01,.17,-.02,-.06,-.06,-.19,-.29,-.41,-.61,-.54,-.16,-.14,-.05,.05,-.10,-.44
1890,-.63,-.59,-.47,-.24,-.36,-.15,-.23,-.38,-.34,-.09,-.64,-.45,-.38,-.39,-.59,-.35,-.25,-.36
1891,-.45,-.68,-.13,-.34,-.14,-.11,-.10,-.10,-.06,-.26,-.51,-.02,-.24,-.28,-.53,-.21,-.11,-.28
1892,-.45,-.13,-.64,-.43,-.22,-.04,-.36,-.31,-.17,-.25,-.80,-.62,-.37,-.32,-.20,-.43,-.24,-.41
1893,-1.47,-.92,-.29,-.27,-.42,-.17,-.13,-.32,-.28,-.27,-.33,-.61,-.46,-.46,-1.00,-.33,-.21,-.29
